JOB PATH,BARCODE,INDEX,DATE,S.TIME,E.TIME,CYCLE,JOB,RESULT,USER,CONFIRMRESULT,MACHINE,
D:\Data\3A9-22-1604MGZ01B-BOT\pad_insp_result_31001.MYD, 3A9-G-BOT-20180123-02233,31940, 01/24/2018, 2018/01/24 20:43:08, 2018/01/24 20:43:14,6.83, 3A9-22-1604MGZ01B-BOT, GOOD, manager, GOOD,MACHINE001,
Barcode, BoardID, Component, PadID, Pin Number, Height, Area, Area(%), Volume, Volume(%), OffsetX, OffsetY, Result
3A9-G-BOT-20180123-02233,0, ,1, ,132.7081,227.0043,123.4,25.1686,114,61.4956,-16.987, GOOD
3A9-G-BOT-20180123-02233,0, ,2, ,134.9713,218.9462,119,25.5181,115.6,57.6534,14.3865, GOOD
3A9-G-BOT-20180123-02233,0, ,3, ,132.2341,233.2936,126.8,25.9527,117.5,52.2673,-18.2757, GOOD
3A9-G-BOT-20180123-02233,0, ,4, ,133.4472,214.4257,116.5,24.5386,111.1,55.2395,11.7955, GOOD
3A9-G-BOT-20180123-02233,0, ,5, ,149.3818,1195.7526,87.2,154.6742,94,44.6575,9.4079, GOOD
3A9-G-BOT-20180123-02233,0, ,7, ,148.0811,581.3669,89.8,75.1987,96.8,41.4926,3.008, GOOD
3A9-G-BOT-20180123-02233,0, ,8, ,136.5614,572.5226,88.5,66.5145,85.7,69.3884,1.3304, GOOD
3A9-G-BOT-20180123-02233,0, ,9, ,144.8906,1088.0485,79.3,136.6348,83,48.815,2.2684, GOOD
3A9-G-BOT-20180123-02233,0, ,10, ,148.3959,1180.8156,86.1,152.4918,92.7,54.0376,4.0649, GOOD
3A9-G-BOT-20180123-02233,0, ,11, ,139.2692,600.4313,92.8,74.5762,96,29.6889,15.769, GOOD
3A9-G-BOT-20180123-02233,0, ,12, ,143.768,591.1939,91.3,75.2996,96.9,35.1722,4.8341, GOOD
3A9-G-BOT-20180123-02233,0, ,13, ,161.9895,1202.828,87.7,172.5033,104.8,43.9959,11.0808, GOOD
3A9-G-BOT-20180123-02233,0, ,14, ,157.7649,1128.929,82.3,156.5669,95.1,56.6484,22.7865, GOOD
3A9-G-BOT-20180123-02233,0, ,15, ,160.6906,1147.7968,83.7,162.7218,98.9,57.4955,2.3848, GOOD
3A9-G-BOT-20180123-02233,0, ,16, ,162.2188,1156.4446,84.3,167.5096,101.8,65.7026,1.6895, GOOD
3A9-G-BOT-20180123-02233,0, ,17, ,143.2419,228.1836,124,27.6956,125.4,45.4282,-15.7515, GOOD
3A9-G-BOT-20180123-02233,0, ,18, ,145.4713,228.9697,124.4,28.2168,127.8,50.4946,-14.6699, GOOD
3A9-G-BOT-20180123-02233,0, ,19, ,144.0887,216.5877,117.7,26.3767,119.5,47.6072,14.4934, GOOD
3A9-G-BOT-20180123-02233,0, ,20, ,131.3181,210.1018,114.2,23.8109,107.8,53.1665,11.6727, GOOD
